City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Omaha NE,76,34,60,60,70,60,73,45,70,2014
Panama City FL,65,68,81,54,61,52,75,32,59,2014
Sherman TX-Ada OK,68,47,64,66,74,65,74,53,79,2014
Green Bay-Appleton WI,68,31,58,67,50,62,63,49,67,2014
Nashville TN,79,43,65,59,77,66,80,41,77,2014
San Angelo TX,66,39,54,66,98,54,99,31,75,2014
Abilene-Sweetwater TX,70,53,59,76,91,75,77,39,69,2014
Madison WI,71,30,59,61,52,64,68,41,64,2014
Ft. Smith-Fayetteville-Springdale-Rogers AR,65,28,55,67,69,75,69,39,71,2014
Tulsa OK,63,38,58,57,50,53,62,33,64,2014
Columbus-Tupelo-West Point MS,75,48,60,56,69,43,73,32,64,2014
Peoria-Bloomington IL,78,43,67,67,47,69,69,53,74,2014
Duluth MN-Superior WI,74,50,79,76,55,67,66,55,79,2014
Wichita-Hutchinson KS,66,28,51,53,58,42,66,30,59,2014
Des Moines-Ames IA,71,33,53,65,61,66,65,48,74,2014
Davenport IA-Rock Island-Moline IL,69,54,53,68,52,52,71,48,76,2014
Mobile AL-Pensacola (Ft. Walton Beach) FL,77,44,67,56,63,61,75,35,71,2014
Minot-Bismarck-Dickinson(Williston) ND,64,18,76,63,45,65,71,34,68,2014
Huntsville-Decatur (Florence) AL,77,43,62,62,66,62,75,40,72,2014
Beaumont-Port Arthur TX,70,65,56,61,52,63,66,38,69,2014
Little Rock-Pine Bluff AR,76,39,65,67,87,70,74,53,75,2014
Montgomery (Selma) AL,77,100,61,62,82,52,66,47,78,2014
La Crosse-Eau Claire WI,79,49,78,65,57,72,69,60,74,2014
Wausau-Rhinelander WI,71,73,73,65,54,68,61,52,75,2014
Tyler-Longview(Lufkin & Nacogdoches) TX,68,73,68,65,66,74,79,41,77,2014
Hattiesburg-Laurel MS,80,40,71,59,79,39,82,42,75,2014
Meridian MS,83,53,77,76,74,32,62,63,72,2014
Baton Rouge LA,71,64,61,59,74,56,72,47,70,2014
Quincy IL-Hannibal MO-Keokuk IA,87,43,70,78,56,69,67,79,85,2014
Jackson MS,78,58,70,61,91,56,67,75,92,2014
Lincoln & Hastings-Kearney NE,68,39,61,67,53,61,67,62,71,2014
Fargo-Valley City ND,71,50,71,67,44,68,66,62,85,2014
