City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Des Moines-Ames IA,46,7,15,48,15,38,15,32,42,2004
Davenport IA-Rock Island-Moline IL,43,7,18,44,16,36,14,26,40,2004
Mobile AL-Pensacola (Ft. Walton Beach) FL,39,7,18,37,19,22,10,25,37,2004
Minot-Bismarck-Dickinson(Williston) ND,46,6,16,64,14,31,21,23,48,2004
Huntsville-Decatur (Florence) AL,41,7,18,48,18,29,12,20,34,2004
Beaumont-Port Arthur TX,45,10,18,20,8,35,20,39,47,2004
Little Rock-Pine Bluff AR,45,8,13,44,19,30,14,30,44,2004
Montgomery (Selma) AL,43,7,11,40,26,33,13,28,47,2004
La Crosse-Eau Claire WI,44,5,16,56,15,32,14,54,33,2004
Wausau-Rhinelander WI,46,6,13,45,31,26,19,32,39,2004
Tyler-Longview(Lufkin & Nacogdoches) TX,44,9,19,58,28,26,12,30,56,2004
Hattiesburg-Laurel MS,49,29,15,21,18,34,58,25,54,2004
Meridian MS,33,0,0,61,100,0,0,73,63,2004
Baton Rouge LA,43,12,19,34,20,25,16,38,49,2004
Quincy IL-Hannibal MO-Keokuk IA,42,13,15,66,16,39,23,63,32,2004
Jackson MS,49,13,17,49,19,24,20,35,47,2004
Lincoln & Hastings-Kearney NE,41,7,18,43,17,25,18,42,46,2004
Fargo-Valley City ND,45,6,17,53,10,35,17,32,38,2004
Sioux Falls(Mitchell) SD,49,7,14,64,16,38,12,47,46,2004
Jonesboro AR,52,0,15,66,27,35,0,52,38,2004
Bowling Green KY,39,5,14,54,18,25,18,47,31,2004
Mankato MN,50,22,17,59,8,44,12,37,51,2004
North Platte NE,35,100,57,55,0,0,100,0,75,2004
Anchorage AK,35,5,16,35,13,31,11,24,38,2004
Honolulu HI,43,6,20,34,17,29,17,34,40,2004
Fairbanks AK,36,12,32,47,0,43,18,52,36,2004
Biloxi-Gulfport MS,37,6,15,23,16,27,17,20,37,2004
Juneau AK,46,0,19,54,15,22,28,0,58,2004
Laredo TX,30,0,19,20,0,65,0,32,46,2004
Denver CO,40,6,15,37,16,26,14,24,33,2004
Colorado Springs-Pueblo CO,32,5,19,32,20,24,12,26,26,2004
Phoenix AZ,40,5,17,33,17,29,11,23,35,2004
Butte-Bozeman MT,46,0,15,35,17,42,20,62,27,2004
Great Falls MT,46,12,34,54,15,72,0,32,34,2004
"Billings, MT",34,18,20,100,25,59,20,35,49,2004
Boise ID,39,4,16,38,22,30,13,42,39,2004
Idaho Falls-Pocatello ID,40,0,16,36,19,18,31,66,34,2004
Cheyenne WY-Scottsbluff NE,35,9,17,46,20,40,11,29,46,2004
Twin Falls ID,55,16,28,52,19,56,32,27,24,2004
Missoula MT,41,4,16,47,16,36,16,30,31,2004
Rapid City SD,41,0,15,72,14,55,18,20,40,2004
