location_id,Cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
638,46,11,17,70,0,26,23,58,28,2004
609,47,8,15,43,23,25,15,26,39,2004
555,49,7,18,47,16,40,17,38,35,2004
530,45,13,18,45,13,37,16,36,37,2004
539,43,5,18,32,22,24,14,19,33,2004
581,36,6,25,74,13,38,39,95,39,2004
547,40,7,13,35,23,38,11,47,37,2004
605,40,5,15,39,13,37,19,33,34,2004
540,46,11,11,79,17,35,23,68,32,2004
531,37,9,15,37,15,40,14,24,31,2004
789,41,5,18,34,15,32,18,24,38,2004
671,35,4,19,36,21,44,17,18,39,2004
760,55,16,28,52,19,56,32,27,24,2004
709,44,9,19,58,28,26,12,30,56,2004
526,42,19,19,63,31,100,19,49,29,2004
626,64,0,35,100,0,0,0,0,35,2004
625,40,11,14,37,17,19,13,40,39,2004
511,47,5,15,33,15,46,11,31,37,2004
549,28,0,28,41,19,74,48,27,16,2004
705,46,6,13,45,31,26,19,32,39,2004
548,44,5,18,35,19,41,15,23,29,2004
554,50,11,35,35,33,25,32,18,32,2004
627,40,15,17,32,27,26,15,57,29,2004
678,39,6,21,53,13,40,18,44,38,2004
577,48,7,18,60,23,49,12,41,31,2004
550,50,12,21,44,15,32,19,32,42,2004
810,44,2,14,37,6,27,9,30,32,2004
536,45,6,12,79,25,27,9,56,29,2004
771,36,0,23,45,19,54,0,27,31,2004
596,31,0,14,39,43,0,54,0,23,2004
662,51,29,36,10,57,23,30,29,21,2005
525,69,20,28,14,28,29,9,17,20,2005
532,67,13,53,13,26,27,26,18,21,2005
790,63,8,48,11,22,29,31,14,29,2005
644,53,0,57,11,0,49,72,26,20,2005
583,43,0,0,100,0,0,0,0,100,2005
634,49,17,37,11,31,53,17,15,33,2005
743,57,6,47,11,13,27,24,16,23,2005
524,63,17,37,9,28,28,22,16,21,2005
520,67,21,58,12,42,23,19,21,24,2005
635,53,15,35,10,24,28,30,15,19,2005
800,50,11,50,12,20,18,19,25,20,2005
512,69,23,43,11,28,35,24,19,22,2005
537,77,26,48,19,26,46,25,46,23,2005
716,61,15,39,11,31,26,19,18,19,2005
692,52,17,39,12,20,31,28,8,28,2005
821,59,17,37,10,33,35,28,19,18,2005
756,59,27,68,24,33,19,37,29,28,2005
746,49,13,40,10,15,27,40,15,16,2005
502,62,8,44,13,25,21,23,24,18,2005
630,71,21,54,11,34,24,29,22,26,2005
559,100,78,63,12,23,24,0,51,25,2005
757,52,8,39,14,33,25,26,22,21,2005
506,69,16,41,11,36,31,25,15,22,2005
736,63,28,46,17,20,17,45,35,20,2005
514,73,12,38,12,24,25,21,25,22,2005
523,74,14,45,13,30,31,26,30,24,2005
754,62,19,49,12,17,44,58,30,21,2005
767,62,18,40,9,32,45,24,27,23,2005
637,76,23,45,13,18,33,25,32,23,2005
