City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Bakersfield CA,50,26,29,24,52,33,23,32,39,2010
Eugene OR,57,37,44,31,44,50,29,39,35,2010
Eureka CA,61,37,38,21,62,65,28,21,45,2010
Los Angeles CA,54,35,34,23,51,39,25,26,34,2010
Palm Springs CA,58,29,35,24,46,35,29,25,27,2010
San Francisco-Oakland-San Jose CA,31,28,16,9,17,19,9,10,24,2010
Yakima-Pasco-Richland-Kennewick WA,60,36,42,30,47,62,27,27,38,2010
Reno NV,58,35,46,29,48,35,34,31,36,2010
Medford-Klamath Falls OR,56,43,49,25,37,43,30,37,37,2010
Seattle-Tacoma WA,58,29,38,25,50,44,27,23,35,2010
Portland OR,55,38,42,27,53,45,28,27,36,2010
Bend OR,55,17,43,28,57,46,32,23,34,2010
San Diego CA,59,43,34,23,50,53,27,29,38,2010
Monterey-Salinas CA,49,29,26,25,48,44,19,39,31,2010
Las Vegas NV,58,44,35,21,65,37,28,20,41,2010
Santa Barbara-Santa Maria-San Luis Obispo CA,56,28,38,24,45,42,25,25,32,2010
Sacramento-Stockton-Modesto CA,57,38,40,24,48,49,26,29,40,2010
Fresno-Visalia CA,54,48,32,25,51,39,26,31,39,2010
Chico-Redding CA,55,30,37,26,55,43,26,45,38,2010
Spokane WA,55,39,39,27,62,41,27,32,40,2010
